Day of Din Instante,Month of Din Instante,Val Geraenergiaconmwmed
13,June 2018,7.57933333
14,June 2018,7.44954166
15,June 2018,6.975375
16,June 2018,5.603625
17,June 2018,4.83691666
18,June 2018,6.09895833
19,June 2018,6.8045
20,June 2018,8.504875
21,June 2018,7.26620833
22,June 2018,6.26645833
23,June 2018,8.91679166
24,June 2018,6.58354166
25,June 2018,7.57683333
26,June 2018,6.8615
27,June 2018,8.43991666
28,June 2018,8.59566666
29,June 2018,8.61516666
30,June 2018,9.35554166
1,May 2018,8.70225
2,May 2018,8.91008333
3,May 2018,9.230375
4,May 2018,9.25270833
5,May 2018,8.88795833
6,May 2018,5.004875
7,May 2018,6.52733333
8,May 2018,7.62770833
9,May 2018,4.91504166
10,May 2018,6.46520833
11,May 2018,8.183375
12,May 2018,8.357625
13,May 2018,9.17820833
14,May 2018,9.737
15,May 2018,7.24416666
16,May 2018,9.38079166
17,May 2018,4.268625
18,May 2018,8.03595833
19,May 2018,9.48575
20,May 2018,8.13645833
21,May 2018,8.55016666
22,May 2018,9.88545833
23,May 2018,9.49416666
24,May 2018,5.82470833
25,May 2018,8.47241666
26,May 2018,8.25879166
27,May 2018,10.08558333
28,May 2018,7.15970833
29,May 2018,8.89329166
30,May 2018,8.504125
31,May 2018,6.16308333
1,April 2018,9.633125
2,April 2018,3.43145833
3,April 2018,9.567375
4,April 2018,9.0745
5,April 2018,9.13425
6,April 2018,8.428
7,April 2018,7.926625
8,April 2018,5.07975
9,April 2018,5.843375
10,April 2018,7.77066666
11,April 2018,5.92054166
12,April 2018,6.98279166
13,April 2018,6.05979166
14,April 2018,6.76991666
15,April 2018,7.61579166
16,April 2018,5.98775
17,April 2018,1.96995833
18,April 2018,9.17266666
19,April 2018,10.38220833
20,April 2018,7.76645833
21,April 2018,8.55679166
22,April 2018,7.366875
23,April 2018,8.07345833
24,April 2018,10.072625
25,April 2018,7.94858333
26,April 2018,7.66333333
27,April 2018,8.55666666
28,April 2018,10.01495833
29,April 2018,8.68829166
30,April 2018,6.53129166
1,March 2018,5.12816666
2,March 2018,8.54270833
3,March 2018,6.94608333
4,March 2018,8.1655
5,March 2018,7.6375
6,March 2018,6.84545833
7,March 2018,9.790875
8,March 2018,9.344375
9,March 2018,8.05670833
10,March 2018,8.99666666
11,March 2018,9.75766666
12,March 2018,9.326375
13,March 2018,8.274125
14,March 2018,9.127875
15,March 2018,9.40245833
16,March 2018,9.79866666
17,March 2018,10.61870833
18,March 2018,9.22208333
19,March 2018,8.35408333
20,March 2018,8.88495833
21,March 2018,7.34333333
22,March 2018,7.81791666
23,March 2018,8.57070833
24,March 2018,7.76991666
25,March 2018,7.7075
26,March 2018,5.12158333
27,March 2018,7.21733333
28,March 2018,6.40795833
29,March 2018,3.75375
30,March 2018,5.982375
31,March 2018,9.155625
1,February 2018,7.3935
2,February 2018,6.9575
3,February 2018,7.66616666
4,February 2018,8.57833333
5,February 2018,7.56829166
6,February 2018,7.41254166
7,February 2018,8.39125
8,February 2018,6.92191666
9,February 2018,7.36041666
10,February 2018,6.38070833
11,February 2018,5.605125
12,February 2018,7.77795833
13,February 2018,6.98754166
14,February 2018,2.33054166
15,February 2018,5.53133333
16,February 2018,5.37179166
17,February 2018,2.43675
18,February 2018,7.809125
19,February 2018,9.35020833
20,February 2018,10.30925
21,February 2018,8.99929166
22,February 2018,1.57404166
23,February 2018,5.66204166
24,February 2018,6.40579166
25,February 2018,7.64720833
26,February 2018,7.94520833
27,February 2018,9.17358333
28,February 2018,6.43591666
1,January 2018,6.98741666
2,January 2018,7.15991666
3,January 2018,7.413875
4,January 2018,6.71995833
5,January 2018,4.50325
6,January 2018,7.06883333
7,January 2018,7.75708333
8,January 2018,6.924625
9,January 2018,4.35008333
10,January 2018,4.24825
11,January 2018,6.88025
12,January 2018,7.90895833
13,January 2018,7.41308333
14,January 2018,6.12320833
15,January 2018,5.17904166
16,January 2018,7.46108333
17,January 2018,7.39158333
18,January 2018,5.37291666
19,January 2018,5.74783333
20,January 2018,6.49891666
21,January 2018,8.48333333
22,January 2018,7.16683333
23,January 2018,6.12604166
24,January 2018,2.82808333
25,January 2018,6.85304166
26,January 2018,8.12629166
27,January 2018,4.59729166
28,January 2018,7.5355
29,January 2018,5.37875
30,January 2018,8.09875
31,January 2018,7.96479166
1,December 2017,0
2,December 2017,0
3,December 2017,0
4,December 2017,0
5,December 2017,0
6,December 2017,0
7,December 2017,0
8,December 2017,0
9,December 2017,0
10,December 2017,0
11,December 2017,0
12,December 2017,0
13,December 2017,0.37275
14,December 2017,7.534375
15,December 2017,5.24841666
16,December 2017,6.58745833
17,December 2017,7.60383333
18,December 2017,7.09279166
19,December 2017,5.32116666
20,December 2017,5.01583333
21,December 2017,5.859125
22,December 2017,2.91575
23,December 2017,5.376375
24,December 2017,7.05716666
25,December 2017,6.77304166
26,December 2017,6.082875
27,December 2017,7.494625
28,December 2017,7.98629166
29,December 2017,7.72783333
30,December 2017,7.43858333
31,December 2017,7.279375
