Day of Din Instante,Month of Din Instante,Val Geraenergiaconmwmed
25,May 2019,14.58725
26,May 2019,14.43441666
27,May 2019,12.148625
28,May 2019,12.49633333
29,May 2019,13.39558333
30,May 2019,13.86329166
31,May 2019,12.94933333
1,April 2019,13.10558333
2,April 2019,15.66416666
3,April 2019,12.6115
4,April 2019,13.27279166
5,April 2019,14.21920833
6,April 2019,13.23983333
7,April 2019,13.42833333
8,April 2019,15.57329166
9,April 2019,14.23583333
10,April 2019,14.3365
11,April 2019,15.8345
12,April 2019,12.07670833
13,April 2019,15.621375
14,April 2019,16.56558333
15,April 2019,15.61770833
16,April 2019,13.65845833
17,April 2019,13.48325
18,April 2019,14.789
19,April 2019,11.345625
20,April 2019,12.59279166
21,April 2019,14.7645
22,April 2019,16.28208333
23,April 2019,14.12654166
24,April 2019,13.98129166
25,April 2019,11.86633333
26,April 2019,8.116875
27,April 2019,14.73825
28,April 2019,14.86441666
29,April 2019,14.68225
30,April 2019,6.79054166
1,March 2019,15.49208333
2,March 2019,8.70870833
3,March 2019,8.976625
4,March 2019,10.31204166
5,March 2019,12.91308333
6,March 2019,17.00083333
7,March 2019,14.44254166
8,March 2019,17.14845833
9,March 2019,17.24075
10,March 2019,17.0365
11,March 2019,17.49541666
12,March 2019,12.95833333
13,March 2019,14.33425
14,March 2019,12.19670833
15,March 2019,13.81316666
16,March 2019,16.33641666
17,March 2019,16.799875
18,March 2019,12.43504166
19,March 2019,10.91491666
20,March 2019,11.772125
21,March 2019,9.431
22,March 2019,9.78520833
23,March 2019,11.589375
24,March 2019,10.60875
25,March 2019,13.11120833
26,March 2019,13.80104166
27,March 2019,9.84825
28,March 2019,11.78670833
29,March 2019,13.052375
30,March 2019,13.02633333
31,March 2019,10.76925
1,February 2019,14.63716666
2,February 2019,15.87433333
3,February 2019,16.25608333
4,February 2019,13.675
5,February 2019,12.58895833
6,February 2019,11.82383333
7,February 2019,15.96425
8,February 2019,15.83845833
9,February 2019,16.37445833
10,February 2019,13.31870833
11,February 2019,16.91533333
12,February 2019,13.328625
13,February 2019,10.58141666
14,February 2019,9.12704166
15,February 2019,10.11054166
16,February 2019,9.95966666
17,February 2019,11.128875
18,February 2019,11.03883333
19,February 2019,17.32858333
20,February 2019,17.48183333
21,February 2019,15.07379166
22,February 2019,10.03275
23,February 2019,11.43541666
24,February 2019,13.62395833
25,February 2019,13.52545833
26,February 2019,14.31529166
27,February 2019,12.33379166
28,February 2019,16.37375
1,January 2019,11.919875
2,January 2019,11.212375
3,January 2019,13.99375
4,January 2019,12.08983333
5,January 2019,10.721125
6,January 2019,7.02475
7,January 2019,6.19195833
8,January 2019,7.027375
9,January 2019,8.32733333
10,January 2019,8.54991666
11,January 2019,12.87141666
12,January 2019,13.47645833
13,January 2019,10.54641666
14,January 2019,9.201125
15,January 2019,11.798
16,January 2019,9.93925
17,January 2019,12.56458333
18,January 2019,12.58108333
19,January 2019,12.08845833
20,January 2019,11.7605
21,January 2019,15.26504166
22,January 2019,15.699875
23,January 2019,10.70208333
24,January 2019,13.93933333
25,January 2019,15.36745833
26,January 2019,14.897875
27,January 2019,15.52166666
28,January 2019,13.99958333
29,January 2019,16.95
30,January 2019,15.158625
31,January 2019,15.60645833
1,December 2018,9.15725
2,December 2018,8.40666666
3,December 2018,8.51808333
4,December 2018,8.667875
5,December 2018,11.05108333
6,December 2018,7.63458333
7,December 2018,9.37229166
8,December 2018,14.70208333
9,December 2018,9.543125
10,December 2018,6.30583333
11,December 2018,9.76375
12,December 2018,8.581125
13,December 2018,11.447
14,December 2018,11.94929166
15,December 2018,13.252875
16,December 2018,11.13395833
17,December 2018,6.92908333
18,December 2018,7.44658333
19,December 2018,13.905875
20,December 2018,12.29945833
21,December 2018,13.38291666
22,December 2018,13.317
23,December 2018,8.411375
24,December 2018,7.34020833
25,December 2018,11.55408333
26,December 2018,14.50695833
27,December 2018,14.4995
28,December 2018,12.75629166
29,December 2018,13.670625
30,December 2018,13.767
31,December 2018,13.43158333
1,November 2018,6.35325
2,November 2018,8.23929166
3,November 2018,8.57841666
4,November 2018,6.54508695
5,November 2018,8.13133333
6,November 2018,7.339375
7,November 2018,9.21904166
8,November 2018,11.677125
9,November 2018,11.79858333
10,November 2018,8.82
11,November 2018,8.27516666
12,November 2018,7.34904166
13,November 2018,7.91604166
14,November 2018,8.099125
15,November 2018,7.702625
16,November 2018,9.10254166
17,November 2018,11.472125
18,November 2018,10.98383333
19,November 2018,8.5405
20,November 2018,11.01254166
21,November 2018,12.76766666
22,November 2018,13.29908333
23,November 2018,11.70804166
24,November 2018,9.35408333
25,November 2018,12.91420833
26,November 2018,9.48104166
27,November 2018,5.867625
28,November 2018,8.63766666
29,November 2018,9.15229166
30,November 2018,7.426125
1,October 2018,5.18158333
2,October 2018,5.59666666
3,October 2018,5.33433333
4,October 2018,5.03370833
5,October 2018,4.799875
6,October 2018,5.00445833
7,October 2018,6.55004166
8,October 2018,6.379875
9,October 2018,6.60579166
10,October 2018,5.85833333
11,October 2018,5.74020833
12,October 2018,6.79879166
13,October 2018,7.08629166
14,October 2018,7.121625
15,October 2018,3.72466666
16,October 2018,5.05583333
17,October 2018,5.06416666
18,October 2018,6.56108333
19,October 2018,8.67183333
20,October 2018,9.05608333
21,October 2018,8.73179166
22,October 2018,7.82275
23,October 2018,8.71754166
24,October 2018,8.581375
25,October 2018,8.858375
26,October 2018,9.73283333
27,October 2018,9.11870833
28,October 2018,10.07279166
29,October 2018,9.33904166
30,October 2018,6.93279166
31,October 2018,7.19666666
1,September 2018,5.48908333
2,September 2018,3.89670833
3,September 2018,2.4835
4,September 2018,2.037
5,September 2018,1.457
6,September 2018,3.64075
7,September 2018,4.165875
8,September 2018,5.063625
9,September 2018,5.131875
10,September 2018,4.88779166
11,September 2018,4.31554166
12,September 2018,4.619625
13,September 2018,4.90595833
14,September 2018,5.08841666
15,September 2018,4.531125
16,September 2018,4.20554166
17,September 2018,4.21604166
18,September 2018,4.39204166
19,September 2018,3.82158333
20,September 2018,3.60516666
21,September 2018,3.69029166
22,September 2018,4.46329166
23,September 2018,4.62383333
24,September 2018,3.85770833
25,September 2018,3.46375
26,September 2018,4.02466666
27,September 2018,4.3495
28,September 2018,4.77083333
29,September 2018,4.43508333
30,September 2018,4.878875
1,August 2018,5.42575
2,August 2018,5.78579166
3,August 2018,6.25216666
4,August 2018,5.88008333
5,August 2018,6.061875
6,August 2018,6.08725
7,August 2018,6.035625
8,August 2018,6.192
9,August 2018,6.04804166
10,August 2018,5.85070833
11,August 2018,5.74279166
12,August 2018,5.93725
13,August 2018,5.27883333
14,August 2018,5.182625
15,August 2018,6.01479166
16,August 2018,5.72554166
17,August 2018,6.12279166
18,August 2018,6.30116666
19,August 2018,5.14441666
20,August 2018,4.58716666
21,August 2018,4.55725
22,August 2018,3.48854166
23,August 2018,2.92475
24,August 2018,3.43275
25,August 2018,4.03433333
26,August 2018,3.98875
27,August 2018,2.343875
28,August 2018,4.258625
29,August 2018,4.00525
30,August 2018,5.17370833
31,August 2018,5.19154166
1,July 2018,0
2,July 2018,1.51895833
3,July 2018,2.284125
4,July 2018,2.317
5,July 2018,2.95545833
6,July 2018,2.47125
7,July 2018,1.84804166
8,July 2018,4.229
9,July 2018,4.230625
10,July 2018,1.62595833
11,July 2018,1.51604166
12,July 2018,4.19441666
13,July 2018,5.43058333
14,July 2018,5.21225
15,July 2018,5.70645833
16,July 2018,3.510625
17,July 2018,3.203125
18,July 2018,2.98016666
19,July 2018,3.137375
20,July 2018,2.8465
21,July 2018,3.179375
22,July 2018,2.98229166
23,July 2018,2.99308333
24,July 2018,2.68983333
25,July 2018,5.33895833
26,July 2018,3.43454166
27,July 2018,3.97329166
28,July 2018,5.80891666
29,July 2018,6.08804166
30,July 2018,0.00025
31,July 2018,5.217
1,June 2018,0
2,June 2018,0
3,June 2018,0
4,June 2018,0
5,June 2018,0
6,June 2018,0
7,June 2018,0
8,June 2018,0
9,June 2018,0
10,June 2018,0
11,June 2018,0
12,June 2018,0
13,June 2018,0
14,June 2018,0
15,June 2018,0.58333333
16,June 2018,4.166e-05
17,June 2018,0
18,June 2018,0
19,June 2018,0.006875
20,June 2018,0.92608333
21,June 2018,2.03925
22,June 2018,2.25620833
23,June 2018,2.23420833
24,June 2018,1.27754166
25,June 2018,1.62208333
26,June 2018,2.32304166
27,June 2018,2.31183333
28,June 2018,2.23633333
29,June 2018,1.84370833
30,June 2018,0
1,May 2018,0
2,May 2018,0
3,May 2018,0
4,May 2018,0
5,May 2018,0
6,May 2018,0
7,May 2018,0
8,May 2018,0
9,May 2018,0
10,May 2018,0
11,May 2018,0
12,May 2018,0
13,May 2018,0
14,May 2018,0
15,May 2018,0
16,May 2018,0
17,May 2018,0
18,May 2018,0
19,May 2018,0
20,May 2018,0
21,May 2018,0
22,May 2018,0
23,May 2018,0
24,May 2018,0
25,May 2018,0
26,May 2018,0
27,May 2018,0
28,May 2018,0
29,May 2018,0
30,May 2018,0
31,May 2018,0
